Page,Codename,URL
Marriott Hotels,Marriott,https://www.facebook.com/341984025882724
Booking.com,bookingcom,https://www.facebook.com/131840030178250
MakeMyTrip,makemytrip,https://www.facebook.com/120740541030
"Starwood Hotels & Resorts Worldwide, Inc.",starwood,https://www.facebook.com/7679249105
W Hotels Worldwide,WHotels,https://www.facebook.com/13807629223
W Barcelona,wbarcelonahotel,https://www.facebook.com/146811444936
W Hollywood,WHollywoodHotel,https://www.facebook.com/116090925092082
Royal Caribbean International,RoyalCaribbeanLatinoamericayCaribe,https://www.facebook.com/140902829295644
Fodor's Travel,FodorsTravel,https://www.facebook.com/27630567432
W Santiago,wsantiago,https://www.facebook.com/91020676197
W South Beach,wsouthbeach,https://www.facebook.com/100266560805
SkyMall,SkyMall,https://www.facebook.com/67443103870
EF Tours,eftours,https://www.facebook.com/18783176937
Tourism Fiji,Fiji,https://www.facebook.com/125452924183448
Tourism Philippines,tourismphilippines,https://www.facebook.com/86996579063
Niagara Falls Tourism,NiagaraFallsTourism,https://www.facebook.com/155709548338
Air France,airfrance,https://www.facebook.com/10150136746870526
Lonely Planet Magazine India,LonelyPlanetMagazineIndia,https://www.facebook.com/377346545640256
VirtualTourist.com,VirtualTourist,https://www.facebook.com/7540709186
BootsnAll Travel,BootsnAllTravel,https://www.facebook.com/8062497906
The World Traveling Guide,TheWorldTravelingGuide,https://www.facebook.com/589020857856437
Concierge.com,Concierge,https://www.facebook.com/10113603943
Disney California Adventure Park,DisneyCaliforniaAdventure,https://www.facebook.com/171559836207050
Tropical Islands,tropical.islands,https://www.facebook.com/242358065800430
Global Travel BG,globaltourisumtravel,https://www.facebook.com/170256703119004
World Travel Channel,WorldTravelChannel,https://www.facebook.com/135243169868428
Pullmantur,Pullmantur,https://www.facebook.com/115273798539397
Pride of Maui,prideofmaui,https://www.facebook.com/363862225482
Hana Hou! The Magazine of Hawaiian Airlines,HanaHou,https://www.facebook.com/71709962534
Mount Rushmore National Memorial,,https://www.facebook.com/146142078740561
Costa Rica,CostaRicaViews,https://www.facebook.com/86178451121
Four Seasons Resort Bora Bora,FourSeasonsResortBoraBora,https://www.facebook.com/233537775599
Germany - The Travel Destination,GermanyTravelDestination,https://www.facebook.com/142050192568
Go Turkey,GoTurkey,https://www.facebook.com/186823154776142
Study in Turkey,GoStudyinTurkey,https://www.facebook.com/284619511558351
Aeromexico,AeromexicoNA,https://www.facebook.com/384781124953884
Discovery Canada,discoverycanada,https://www.facebook.com/150545558292410
The Yacht Week,theyachtweek,https://www.facebook.com/77619914515
Cruise.com,cruisediscounts,https://www.facebook.com/188140595713
TRAVELIFE MAGAZINE,TravelifeOnline,https://www.facebook.com/8542039105
Travel+Leisure México,travelleisuremx,https://www.facebook.com/155647677818111
Travelodge by Wyndham,Travelodge,https://www.facebook.com/114303581926584
Days Inn by Wyndham,DaysInn,https://www.facebook.com/56456219978
Hainan Airlines Global,HainanAirlinesGlobal,https://www.facebook.com/103420849792272
Radisson,Radisson,https://www.facebook.com/176184645758527
Millennium Hotels and Resorts,millenniumhotels,https://www.facebook.com/183313151805748
Food and Travel Magazine,FoodandTravelMag,https://www.facebook.com/612037222178911
AARP Travel Center Powered by Expedia,ExpediaAARPTravelCenter,https://www.facebook.com/1584008115175109
"Flight Centre Travel Group, The Americas",FlightCentreTravelGroupTheAmericas,https://www.facebook.com/780521878717133
Flight Center USA,FlightCenterUSA,https://www.facebook.com/125103660844688
Los Angeles Travel Magazine,LosAngelesTravelMagazine,https://www.facebook.com/174117116105247
HYATT Hotels,HyattHotels,https://www.facebook.com/224316874264139
AirAsia Team Impact,airasiaimpact,https://www.facebook.com/308439562917415
السياحه فى مصر,tourisminegypt,https://www.facebook.com/923561244470265
LOT Polish Airlines,PLLLOTUSA,https://www.facebook.com/PLLLOTUSA
ArmWings,armwings,https://www.facebook.com/267843076922972
FlyValan,flyvalan,https://www.facebook.com/462106904169606
JetClass,jetclasscom,https://www.facebook.com/182074752281208
flytoalbania.com,FlyToAlbania,https://www.facebook.com/646456022062711
Arctic Airways - Arctic Cruise Line,arcticairway,https://www.facebook.com/571017942928119
Air Hollandia,airhollandia,https://www.facebook.com/651091001760665
Hi Fly,hiflyairline,https://www.facebook.com/158873338010462
Pico Airways - Transportes Aéreos do Pico,picoairways,https://www.facebook.com/283990988758515
Amazing Arizona Travel,amazingAZtravel,https://www.facebook.com/150773277802
Averages,,
